,Inf,Name,Position,Nat,Age,Club,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Left Foot,Right Foot,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Height,Injury Risk,Expires,,Min Value,Max Value,Avg Value,height_feet,height_inch,height_cm,Months Remaining
89,     , Hakim Abdallah                , D/WB/M (L)                       , COM ,25.0, Rodez AF                  , £325K - £950K   ,2400.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,3.0,13.0,2.0,12.0,14.0,11.0,12.0,11.0,1.0,11.0,12.0,12.0,11.0,10.0,12.0,8.0,11.0,10.0,3.0,6.0,5.0,2.0,9.0,8.0,11.0,11.0,12.0,12.0,12.0,3.0,12.0,8.0,12.0,13.0,13.0,4.0,3.0,11.0,14.0,10.0," 5'6""   ", Low         ,2025-06-30, ,325000.0,950000.0,637500.0,5,6,167.64000000000001,22.0
91, Inj , Hugo Picard                   ," M (L), AM (RLC)                  ", FRA ,20.0, EA Guingamp               , £160K - £1.6M   ,2400.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,13.0,1.0,8.0,16.0,12.0,8.0,9.0,3.0,7.0,9.0,11.0,13.0,1.0,14.0,9.0,13.0,13.0,4.0,4.0,6.0,3.0,5.0,12.0,5.0,9.0,13.0,12.0,5.0,3.0,10.0,7.0,5.0,11.0,14.0,2.0,1.0,13.0,11.0,12.0," 5'6""   ", Increased   ,2026-06-30, ,160000.0,1600000.0,880000.0,5,6,167.64000000000001,34.0
93,     , Paul Arriola                  , M/AM (RL)                        , USA ,28.0, FC Dallas                 , £5.6M - £8.2M   ,26500.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,3.0,13.0,2.0,12.0,13.0,11.0,12.0,8.0,3.0,13.0,13.0,14.0,12.0,13.0,13.0,11.0,13.0,11.0,2.0,10.0,7.0,2.0,12.0,10.0,10.0,12.0,14.0,12.0,10.0,1.0,13.0,8.0,10.0,13.0,12.0,2.0,2.0,10.0,13.0,12.0," 5'6""   ", High        ,2025-12-31, ,5600000.0,8199999.999999999,6900000.0,5,6,167.64000000000001,28.0
95,     , Jair Silva                    ," AM (L), ST (C)                   ", BRA ,25.0, Leiria                    , £110K - £1.1M   ,1400.0, -       , £12.75M     , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,3.0,15.0,1.0,13.0,11.0,12.0,11.0,9.0,1.0,10.0,11.0,8.0,10.0,14.0,12.0,14.0,11.0,15.0,2.0,13.0,15.0,1.0,5.0,11.0,5.0,12.0,16.0,12.0,7.0,4.0,14.0,9.0,5.0,10.0,12.0,1.0,3.0,9.0,13.0,3.0," 5'6""   ", Low         ,2026-06-30, ,110000.0,1100000.0,605000.0,5,6,167.64000000000001,34.0
97,     , Jamie Shackleton              ," D/WB (R), DM, M (C)              ", ENG ,23.0, Leeds                     , £2M - £4.1M     ,9250.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Fairly Strong , Very Strong   ,1.0,13.0,1.0,14.0,15.0,11.0,13.0,13.0,2.0,11.0,11.0,11.0,10.0,15.0,11.0,7.0,12.0,11.0,3.0,5.0,3.0,1.0,8.0,8.0,11.0,12.0,12.0,13.0,11.0,1.0,14.0,9.0,12.0,13.0,11.0,2.0,1.0,11.0,14.0,6.0," 5'6""   ", High        ,2024-06-30, ,2000000.0,4099999.9999999995,3050000.0,5,6,167.64000000000001,10.0
99, Sct , Diego Moreno                  , D/WB (R)                         , ESP ,22.0, Cartagena                 , £130K - £1.3M   ,1500.0, £135K   , £3.4M       , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,14.0,2.0,9.0,14.0,13.0,11.0,13.0,2.0,11.0,8.0,13.0,9.0,11.0,12.0,7.0,10.0,9.0,2.0,9.0,6.0,2.0,8.0,8.0,11.0,14.0,13.0,11.0,13.0,1.0,14.0,11.0,13.0,14.0,11.0,1.0,1.0,6.0,13.0,9.0," 5'6""   ", Low         ,2026-06-30, ,130000.0,1300000.0,715000.0,5,6,167.64000000000001,34.0
101, nEU , Marcos Antonio                ," DM, M (C)                        ", BRA ,23.0, PAOK                      , £250K - £5.4M   ,19000.0, -       , -           , -                            , Ambitious           ," Media-friendly, Reserved    ", Reasonable    , Very Strong   ,1.0,13.0,3.0,15.0,15.0,16.0,12.0,11.0,3.0,13.0,12.0,10.0,15.0,15.0,13.0,12.0,14.0,14.0,3.0,4.0,6.0,1.0,6.0,11.0,10.0,12.0,15.0,14.0,13.0,3.0,12.0,7.0,12.0,14.0,15.0,1.0,1.0,14.0,15.0,8.0," 5'6""   ", Low         ,2027-06-30, ,250000.0,5400000.0,2825000.0,5,6,167.64000000000001,46.0
103,     , Hassane Kamara                , D/WB/M (L)                       , CIV ,29.0, Udinese                   , £450K - £4.5M   ,19000.0, -       , -           , -                            , Balanced            , Level-headed                , Very Strong   , Weak          ,1.0,14.0,1.0,13.0,13.0,13.0,12.0,15.0,1.0,13.0,13.0,13.0,11.0,11.0,14.0,9.0,13.0,14.0,4.0,12.0,9.0,3.0,7.0,10.0,11.0,12.0,15.0,13.0,10.0,3.0,13.0,10.0,14.0,14.0,13.0,3.0,1.0,13.0,15.0,10.0," 5'6""   ", Low         ,2026-06-30, ,450000.0,4500000.0,2475000.0,5,6,167.64000000000001,34.0
105,     , Conor Chaplin                 ," AM (RLC), ST (C)                 ", ENG ,26.0, Ipswich                   , £8.6M - £10.5M  ,15000.0, -       , -           , -                            , Resolute            , Reserved                    , Very Strong   , Reasonable    ,2.0,13.0,1.0,11.0,14.0,13.0,10.0,10.0,2.0,11.0,13.0,12.0,11.0,15.0,13.0,17.0,15.0,12.0,1.0,13.0,7.0,3.0,13.0,15.0,5.0,14.0,12.0,12.0,8.0,3.0,13.0,8.0,9.0,13.0,15.0,2.0,3.0,10.0,14.0,10.0," 5'6""   ", Increased   ,2026-06-30, ,8600000.0,10500000.0,9550000.0,5,6,167.64000000000001,34.0
107, Inj , Aldo Florenzi                 , M (C)                            , ITA ,21.0, Cosenza                   , £190K - £1.9M   ,3000.0, -       , -           , -                            , Resolute            , Level-headed                , Very Weak     , Very Strong   ,2.0,13.0,4.0,12.0,12.0,11.0,12.0,12.0,1.0,11.0,12.0,12.0,12.0,15.0,12.0,12.0,13.0,13.0,2.0,9.0,11.0,1.0,11.0,12.0,11.0,14.0,13.0,13.0,14.0,3.0,12.0,11.0,10.0,12.0,13.0,2.0,3.0,13.0,14.0,11.0," 5'6""   ", High        ,2026-06-30, ,190000.0,1900000.0,1045000.0,5,6,167.64000000000001,34.0
109,     , Kaio César                    , AM (RL)                          , BRA ,19.0, VTSC                      , £230K - £650K   ,1100.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,2.0,14.0,2.0,7.0,16.0,11.0,10.0,9.0,3.0,11.0,11.0,10.0,10.0,12.0,14.0,9.0,11.0,14.0,2.0,7.0,4.0,3.0,5.0,11.0,7.0,15.0,14.0,11.0,7.0,1.0,11.0,7.0,8.0,11.0,11.0,3.0,1.0,11.0,8.0,9.0," 5'6""   ", Increased   ,2026-08-30, ,230000.0,650000.0,440000.0,5,6,167.64000000000001,36.0
113,     , Arianit Ferati                ," M (RL), AM (RLC)                 ", ALB ,25.0, Fortuna Sittard           , £190K - £1.9M   ,1500.0, -       , -           , -                            , Fairly Ambitious    , Media-friendly              , Very Strong   , Fairly Strong ,3.0,13.0,4.0,12.0,15.0,9.0,14.0,14.0,3.0,7.0,10.0,13.0,8.0,13.0,15.0,10.0,14.0,17.0,1.0,5.0,5.0,2.0,9.0,13.0,5.0,12.0,11.0,12.0,6.0,2.0,10.0,7.0,6.0,10.0,14.0,1.0,1.0,13.0,11.0,11.0," 5'6""   ", Low         ,2024-06-30, ,190000.0,1900000.0,1045000.0,5,6,167.64000000000001,10.0
115,     , Lewis Bate                    ," DM, M (C)                        ", ENG ,20.0, MK Dons                   , £8.2M - £12M    ,4000.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,3.0,13.0,1.0,11.0,14.0,10.0,13.0,12.0,1.0,11.0,13.0,7.0,12.0,11.0,11.0,8.0,13.0,7.0,3.0,6.0,6.0,2.0,10.0,9.0,9.0,11.0,11.0,15.0,12.0,3.0,13.0,5.0,10.0,13.0,15.0,2.0,1.0,13.0,13.0,10.0," 5'6""   ", High        ,2024-06-30, ,8199999.999999999,12000000.0,10100000.0,5,6,167.64000000000001,10.0
117,     , Karamoko Dembélé              ," M (R), AM (RL)                   ", ENG ,20.0, Blackpool                 , £475K - £4.7M   ,2600.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Very Strong   , Reasonable    ,3.0,16.0,2.0,8.0,16.0,11.0,12.0,11.0,2.0,7.0,10.0,11.0,8.0,15.0,14.0,11.0,13.0,14.0,1.0,5.0,5.0,3.0,7.0,11.0,5.0,11.0,15.0,10.0,6.0,3.0,8.0,6.0,6.0,7.0,13.0,3.0,2.0,10.0,8.0,7.0," 5'6""   ", High        ,2026-06-30, ,475000.0,4700000.0,2587500.0,5,6,167.64000000000001,34.0
119,     , Christian Acella              , M (C)                            , ITA ,21.0, Giana                     , £190K - £1.9M   ,1100.0, -       , -           , -                            , Balanced            ," Outspoken, Media-friendly   ", Reasonable    , Very Strong   ,1.0,12.0,2.0,12.0,11.0,12.0,9.0,10.0,2.0,10.0,10.0,9.0,9.0,4.0,11.0,8.0,12.0,8.0,3.0,9.0,9.0,1.0,9.0,11.0,8.0,10.0,11.0,12.0,12.0,2.0,13.0,11.0,10.0,10.0,10.0,3.0,2.0,12.0,12.0,10.0," 5'6""   ", Low         ,2025-06-30, ,190000.0,1900000.0,1045000.0,5,6,167.64000000000001,22.0
121, Inj , Manu García                   , M/AM (C)                         , ESP ,25.0, Aris                      , £750K - £7M     ,16250.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Fairly Strong , Very Strong   ,1.0,13.0,1.0,7.0,14.0,11.0,13.0,10.0,3.0,12.0,11.0,12.0,13.0,12.0,14.0,9.0,16.0,17.0,4.0,6.0,6.0,1.0,10.0,9.0,9.0,15.0,12.0,15.0,12.0,3.0,11.0,9.0,9.0,12.0,15.0,2.0,1.0,16.0,13.0,11.0," 5'7""   ", High        ,2026-06-30, ,750000.0,7000000.0,3875000.0,5,7,170.18,34.0
123,     , Vicente Besuijen              , AM (RLC)                         , NED ,22.0, FC Emmen                  , £1M - £2.1M     ,2000.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,3.0,15.0,3.0,10.0,15.0,8.0,13.0,13.0,1.0,7.0,10.0,10.0,9.0,9.0,14.0,10.0,12.0,15.0,1.0,5.0,5.0,4.0,6.0,6.0,3.0,12.0,15.0,11.0,4.0,1.0,10.0,5.0,4.0,7.0,13.0,2.0,3.0,8.0,8.0,7.0," 5'7""   ", Low         ,2026-05-31, ,1000000.0,2100000.0,1550000.0,5,7,170.18,33.0
125, Inj , Patrick Egelund               ," AM (RL), ST (C)                  ", DEN ,23.0, FC Fredericia             , £475K - £1.4M   ,925.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,1.0,14.0,1.0,12.0,11.0,11.0,9.0,7.0,4.0,9.0,12.0,12.0,11.0,9.0,11.0,11.0,11.0,13.0,3.0,7.0,5.0,2.0,5.0,10.0,4.0,13.0,13.0,13.0,4.0,4.0,7.0,4.0,3.0,9.0,12.0,1.0,3.0,10.0,10.0,8.0," 5'7""   ", High        ,2025-06-30, ,475000.0,1400000.0,937500.0,5,7,170.18,22.0
127,     , Agustín Bouzat                ," WB (L), M/AM (RL)                ", ARG ,29.0, Vélez                     , £220K - £2.2M   ,8750.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,1.0,14.0,2.0,15.0,14.0,11.0,10.0,8.0,1.0,14.0,9.0,9.0,12.0,13.0,11.0,7.0,11.0,8.0,2.0,8.0,7.0,2.0,11.0,11.0,12.0,12.0,12.0,11.0,13.0,3.0,17.0,8.0,11.0,17.0,12.0,1.0,2.0,11.0,17.0,7.0," 5'7""   ", Low         ,2024-12-31, ,220000.0,2200000.0,1210000.0,5,7,170.18,16.0
129,     , Kai Fotheringham              , M/AM (RL)                        , SCO ,20.0, Dundee United             , £140K - £1.4M   ,800.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,11.0,4.0,8.0,12.0,10.0,10.0,10.0,3.0,10.0,12.0,11.0,11.0,14.0,11.0,13.0,14.0,10.0,3.0,7.0,6.0,2.0,9.0,10.0,4.0,11.0,11.0,10.0,8.0,1.0,12.0,7.0,7.0,14.0,13.0,1.0,2.0,11.0,11.0,6.0," 5'7""   ", High        ,2025-05-31, ,140000.0,1400000.0,770000.0,5,7,170.18,21.0
131,     , Alexandro Bernabéi            , D/WB (L)                         , ARG ,22.0, Celtic                    , £3.8M - £5.8M   ,5000.0, -       , -           , -                            , Fairly Determined   , Media-friendly              , Very Strong   , Reasonable    ,1.0,15.0,2.0,16.0,14.0,11.0,10.0,14.0,3.0,11.0,12.0,13.0,11.0,15.0,13.0,8.0,12.0,11.0,4.0,5.0,7.0,1.0,9.0,8.0,10.0,13.0,14.0,11.0,10.0,3.0,13.0,10.0,10.0,13.0,13.0,3.0,2.0,12.0,16.0,13.0," 5'7""   ", Low         ,2027-05-31, ,3800000.0,5800000.0,4800000.0,5,7,170.18,45.0
133,     , Barış Atik                    ," AM (LC), ST (C)                  ", TUR ,28.0, Magdeburg                 , £275K - £2.6M   ,6500.0, -       , -           , -                            , Balanced            ," Outspoken, Media-friendly   ", Reasonable    , Very Strong   ,1.0,14.0,3.0,16.0,16.0,11.0,11.0,8.0,3.0,10.0,13.0,10.0,12.0,13.0,15.0,12.0,14.0,16.0,3.0,6.0,5.0,1.0,12.0,12.0,4.0,12.0,13.0,14.0,4.0,2.0,11.0,7.0,5.0,11.0,16.0,1.0,1.0,15.0,9.0,15.0," 5'7""   ", Low         ,2025-06-30, ,275000.0,2600000.0,1437500.0,5,7,170.18,22.0
135,     , Madson                        , M/AM (RL)                        , BRA ,23.0, Moreirense                , £210K - £600K   ,1300.0, -       , -           , -                            , Balanced            , Level-headed                , Very Strong   , Weak          ,1.0,13.0,3.0,13.0,16.0,11.0,13.0,9.0,1.0,9.0,9.0,12.0,10.0,12.0,13.0,11.0,12.0,10.0,2.0,6.0,3.0,2.0,10.0,7.0,8.0,11.0,14.0,11.0,9.0,1.0,12.0,6.0,9.0,11.0,12.0,1.0,1.0,11.0,12.0,10.0," 5'7""   ", Low         ,2026-06-30, ,210000.0,600000.0,405000.0,5,7,170.18,34.0
137,     , Gontié Junior Diomandé        , M (R)                            , CIV ,20.0, SV Ried                   , £110K - £1.1M   ,900.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,3.0,16.0,2.0,13.0,13.0,10.0,4.0,8.0,1.0,10.0,11.0,13.0,10.0,12.0,13.0,7.0,11.0,5.0,2.0,8.0,4.0,1.0,4.0,9.0,8.0,10.0,16.0,10.0,6.0,3.0,8.0,1.0,8.0,10.0,14.0,2.0,2.0,10.0,12.0,8.0," 5'7""   ", Low         ,2025-06-30, ,110000.0,1100000.0,605000.0,5,7,170.18,22.0
139,     , Gaëtan Perrin                 , M/AM (RL)                        , FRA ,27.0, AJ Auxerre                , £160K - £1.6M   ,6500.0, -       , -           , -                            , Fairly Professional , Reserved                    , Weak          , Very Strong   ,2.0,12.0,2.0,11.0,14.0,13.0,13.0,12.0,1.0,13.0,13.0,13.0,12.0,12.0,14.0,12.0,13.0,10.0,3.0,6.0,5.0,3.0,7.0,11.0,7.0,11.0,13.0,14.0,12.0,2.0,13.0,7.0,8.0,14.0,14.0,1.0,2.0,14.0,13.0,11.0," 5'7""   ", Low         ,2026-06-30, ,160000.0,1600000.0,880000.0,5,7,170.18,34.0
141,     , Marco Delle Monache           , AM (L)                           , ITA ,18.0, Vicenza                   , £5.8M - £6.8M   ,1700.0, -       , £6.75M      , -                            , Fairly Professional ," Media-friendly, Reserved    ", Weak          , Very Strong   ,2.0,13.0,2.0,14.0,15.0,10.0,14.0,10.0,3.0,12.0,8.0,11.0,11.0,13.0,15.0,11.0,13.0,12.0,1.0,8.0,6.0,1.0,9.0,8.0,5.0,14.0,13.0,11.0,8.0,3.0,11.0,8.0,8.0,8.0,13.0,2.0,1.0,11.0,9.0,9.0," 5'7""   ", Low         ,2025-06-30, ,5800000.0,6800000.0,6300000.0,5,7,170.18,22.0
143, Wnt , Jason Ceka                    ," M (R), AM (RLC)                  ", ALB ,23.0, Magdeburg                 , £750K - £1.6M   ,4900.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,2.0,15.0,2.0,13.0,16.0,12.0,11.0,9.0,3.0,12.0,13.0,8.0,12.0,13.0,15.0,11.0,13.0,16.0,4.0,6.0,4.0,2.0,4.0,10.0,6.0,13.0,12.0,13.0,6.0,2.0,11.0,7.0,6.0,11.0,14.0,3.0,2.0,13.0,12.0,11.0," 5'7""   ", Increased   ,2025-06-30, ,750000.0,1600000.0,1175000.0,5,7,170.18,22.0
145, nEU , Lameck Banda                  , AM (RL)                          , ZAM ,22.0, Salento                   , £4.8M - £8.6M   ,10500.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,3.0,17.0,1.0,13.0,16.0,10.0,12.0,11.0,2.0,9.0,9.0,12.0,9.0,14.0,16.0,10.0,15.0,12.0,1.0,7.0,9.0,2.0,8.0,7.0,7.0,13.0,16.0,9.0,8.0,1.0,12.0,9.0,7.0,10.0,14.0,1.0,1.0,10.0,10.0,8.0," 5'7""   ", Low         ,2026-06-30, ,4800000.0,8600000.0,6700000.0,5,7,170.18,34.0
147, Inj , Emre Mor                      , AM (RLC)                         , TUR ,26.0, Fatih Karagümrük          , £200K - £2M     ,22500.0, -       , £21.5M      , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,3.0,18.0,1.0,16.0,18.0,12.0,12.0,11.0,3.0,8.0,10.0,7.0,8.0,13.0,17.0,12.0,14.0,17.0,2.0,5.0,4.0,3.0,7.0,12.0,4.0,13.0,13.0,12.0,6.0,2.0,11.0,6.0,9.0,12.0,14.0,2.0,3.0,13.0,14.0,13.0," 5'7""   ", High        ,2025-06-30, ,200000.0,2000000.0,1100000.0,5,7,170.18,22.0
149,     , Roméo Amané                   ," DM, M (C)                        ", CIV ,20.0, BK Häcken                 , £275K - £2.8M   ,1200.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,13.0,1.0,13.0,15.0,12.0,12.0,11.0,1.0,12.0,12.0,8.0,13.0,14.0,13.0,9.0,13.0,13.0,1.0,8.0,7.0,2.0,7.0,7.0,12.0,13.0,12.0,12.0,13.0,1.0,13.0,10.0,12.0,13.0,14.0,2.0,3.0,13.0,13.0,6.0," 5'7""   ", Increased   ,2026-12-31, ,275000.0,2800000.0,1537500.0,5,7,170.18,40.0
151,     , Manu Fuster                   , AM (LC)                          , ESP ,25.0, Albacete                  , £150K - £5M     ,8750.0, -       , £8.75M      , -                            , Resolute            , Level-headed                , Fairly Strong , Very Strong   ,2.0,13.0,3.0,7.0,14.0,10.0,13.0,8.0,3.0,11.0,12.0,11.0,14.0,15.0,14.0,13.0,14.0,12.0,4.0,9.0,10.0,2.0,13.0,13.0,9.0,13.0,13.0,13.0,10.0,3.0,13.0,9.0,8.0,11.0,15.0,1.0,2.0,14.0,13.0,12.0," 5'7""   ", Normal      ,2025-06-30, ,150000.0,5000000.0,2575000.0,5,7,170.18,22.0
153,     , Eduardo Fereira               , D/WB (R)                         , VEN ,22.0, Academia Puerto Cabello   , £300K - £900K   ,1000.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,14.0,3.0,15.0,13.0,14.0,12.0,12.0,2.0,9.0,11.0,12.0,11.0,13.0,12.0,7.0,12.0,12.0,3.0,10.0,4.0,1.0,6.0,6.0,8.0,12.0,12.0,12.0,8.0,3.0,14.0,8.0,12.0,13.0,13.0,3.0,3.0,13.0,14.0,8.0," 5'7""   ", Normal      ,2025-06-30, ,300000.0,900000.0,600000.0,5,7,170.18,22.0
155, Inj , Tyrell Malacia                , D/WB (L)                         , NED ,23.0, Man UFC                   , £27M - £33M     ,50000.0, -       , -           , -                            , Light-Hearted       , Unflappable                 , Very Strong   , Reasonable    ,3.0,15.0,3.0,15.0,17.0,13.0,13.0,16.0,3.0,11.0,13.0,13.0,14.0,16.0,12.0,7.0,13.0,10.0,2.0,9.0,8.0,3.0,9.0,8.0,14.0,13.0,15.0,12.0,13.0,2.0,15.0,7.0,13.0,15.0,13.0,2.0,3.0,10.0,17.0,7.0," 5'7""   ", High        ,2026-06-30, ,27000000.0,33000000.0,30000000.0,5,7,170.18,34.0
157,     , Dries Mertens                 ," AM (C), ST (C)                   ", BEL ,36.0, Galatasaray               , £600K - £1.3M   ,60000.0, -       , -           , -                            , Professional        , Evasive                     , Fairly Strong , Very Strong   ,1.0,12.0,3.0,14.0,15.0,17.0,12.0,13.0,3.0,13.0,15.0,13.0,16.0,17.0,13.0,11.0,17.0,15.0,2.0,7.0,6.0,1.0,16.0,13.0,4.0,15.0,8.0,14.0,9.0,3.0,8.0,7.0,6.0,16.0,17.0,1.0,1.0,15.0,14.0,13.0," 5'7""   ", Low         ,2024-06-30, ,600000.0,1300000.0,950000.0,5,7,170.18,10.0
159,     , Jorge Espejo                  ," D (RL), WB (R)                   ", CHI ,23.0, Cobreloa                  , £100K - £1M     ,1100.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,1.0,13.0,2.0,13.0,12.0,12.0,10.0,13.0,2.0,13.0,11.0,12.0,10.0,13.0,11.0,6.0,10.0,10.0,3.0,8.0,7.0,1.0,8.0,5.0,11.0,8.0,12.0,11.0,12.0,2.0,14.0,10.0,12.0,14.0,11.0,1.0,2.0,10.0,13.0,9.0," 5'7""   ", Low         ,2024-12-31, ,100000.0,1000000.0,550000.0,5,7,170.18,16.0
161,     , Nikola Vukić                  , AM (C)                           , SRB ,19.0, IMT                       , £170K - £500K   ,110.0, -       , -           , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,2.0,11.0,3.0,9.0,12.0,8.0,11.0,9.0,3.0,12.0,12.0,8.0,11.0,12.0,11.0,11.0,15.0,14.0,1.0,10.0,9.0,2.0,13.0,9.0,10.0,14.0,10.0,11.0,11.0,2.0,11.0,5.0,11.0,12.0,10.0,3.0,3.0,11.0,11.0,10.0," 5'7""   ", Increased   ,2025-06-30, ,170000.0,500000.0,335000.0,5,7,170.18,22.0
163,     , Aisar Ahmed                   ," WB/M (R), AM (RLC)               ", ESP ,22.0, Ceuta                     , £120K - £375K   ,650.0, -       , £250K       , -                            , Fairly Determined   , Media-friendly              , Reasonable    , Very Strong   ,2.0,9.0,3.0,5.0,14.0,14.0,9.0,8.0,4.0,10.0,10.0,9.0,12.0,15.0,13.0,13.0,14.0,13.0,1.0,8.0,6.0,2.0,5.0,7.0,8.0,7.0,13.0,14.0,9.0,2.0,9.0,3.0,7.0,9.0,14.0,3.0,3.0,10.0,10.0,8.0," 5'7""   ", Low         ,2026-06-30, ,120000.0,375000.0,247500.0,5,7,170.18,34.0
165,     , Pablo Cortés                  , M/AM (RC)                        , ESP ,19.0, Zaragoza B                , £325K - £950K   ,425.0, -       , £325K       , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,3.0,13.0,1.0,7.0,14.0,10.0,10.0,11.0,3.0,9.0,13.0,14.0,11.0,4.0,11.0,7.0,12.0,14.0,2.0,4.0,6.0,3.0,7.0,8.0,6.0,12.0,11.0,12.0,7.0,1.0,9.0,6.0,6.0,11.0,13.0,3.0,3.0,13.0,10.0,14.0," 5'7""   ", Low         ,2024-06-30, ,325000.0,950000.0,637500.0,5,7,170.18,10.0
167,     , Mario Butros                  , M/AM (RC)                        , SWE ,20.0, IF Brommapojkarna         , £120K - £350K   ,300.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,12.0,1.0,11.0,12.0,10.0,10.0,8.0,3.0,9.0,9.0,11.0,8.0,12.0,10.0,8.0,12.0,8.0,3.0,7.0,6.0,1.0,9.0,9.0,7.0,10.0,12.0,12.0,8.0,2.0,11.0,9.0,7.0,8.0,12.0,3.0,2.0,12.0,9.0,11.0," 5'7""   ", Increased   ,2025-11-30, ,120000.0,350000.0,235000.0,5,7,170.18,27.0
